Field,BN,$9,$a,SF2,Aut,Biblio
700,46,5766,"Gaylord, Charles N.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=5766#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=46#tab7XX
100,49,10760,"Parker, Sybil P.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=10760#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=49#tab1XX
650,49,17691,ENCICLOPEDIAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17691#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=49#tab6XX
650,50,19549,MANUALES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19549#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=50#tab6XX
650,50,19103,INGENIERIA INDUSTRIAL,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19103#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=50#tab6XX
700,50,12481,"Salvendy, Gavriel",1938-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=12481#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=50#tab7XX
100,55,8871,"Lund, Herbert F.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=8871#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=55#tab1XX
650,55,16781,CONTAMINACION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16781#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=55#tab6XX
650,57,17691,ENCICLOPEDIAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17691#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=57#tab6XX
700,57,3589,"Considine, Douglas M.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=3589#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=57#tab7XX
100,59,13588,"Strauss, Egon",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=13588#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=59#tab1XX
650,61,19549,MANUALES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19549#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=61#tab6XX
700,61,13381,"Souders, Mott",1904-1974,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=13381#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=61#tab7XX
