Field,BN,$9,$a,SF2,Aut,Biblio
650,4843,21074,QUIMICA INORGANICA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=21074#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4843#tab6XX
700,4843,15141,"Zappi, Enrique Vicente",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=15141#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4843#tab7XX
700,4843,10763,"Parkes, G. D.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=10763#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4843#tab7XX
100,4845,11821,"Rey Pastor, Julio",1888-1962,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=11821#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4845#tab1XX
650,4845,21993,SUPERFICIES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=21993#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4845#tab6XX
650,4845,20170,NOMOGRAMAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=20170#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4845#tab6XX
650,4845,18656,GEOMETRIA PLANA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18656#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4845#tab6XX
650,4845,18649,GEOMETRIA ANALITICA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18649#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4845#tab6XX
650,4845,19625,MATEMATICAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19625#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4845#tab6XX
650,4847,19625,MATEMATICAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19625#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4847#tab6XX
650,4852,19625,MATEMATICAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19625#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4852#tab6XX
110,4856,511,Massachusetts Institute of Technology,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=511#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4856#tab1XX
700,4857,14902,"Williston, M.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=14902#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4857#tab7XX
700,4863,9619,"Merino, Juan",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=9619#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4863#tab7XX
100,4883,9522,"Medici, Héctor J.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=9522#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4883#tab1XX
650,4883,19625,MATEMATICAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19625#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4883#tab6XX
650,4891,18665,GESTION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18665#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4891#tab6XX
700,4901,7615,"Juste Iribarren, Luis F.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=7615#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4901#tab7XX
700,4901,10328,"Nieto Taladriz, Gustavo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=10328#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4901#tab7XX
700,4906,4248,"Díaz de Noriega, J. José",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=4248#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4906#tab7XX
700,4931,12939,"Senestrari de Salvi, Magdalena M.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=12939#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4931#tab7XX
700,4931,14140,"Ucha de Davie, Iris",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=14140#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4931#tab7XX
650,4940,19625,MATEMATICAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19625#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4940#tab6XX
700,4940,10283,"Newman, James R.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=10283#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4940#tab7XX
650,4941,19510,MADERA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19510#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4941#tab6XX
700,4941,8153,"Lambert, Herbert G.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=8153#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4941#tab7XX
700,4941,14827,"White, Vernon S.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=14827#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4941#tab7XX
650,4942,19510,MADERA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19510#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4942#tab6XX
700,4942,8153,"Lambert, Herbert G.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=8153#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4942#tab7XX
100,4946,6239,"Graeme, Jerald G.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=6239#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4946#tab1XX
650,4951,18665,GESTION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18665#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4951#tab6XX
650,4951,20515,PLANIFICACION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=20515#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4951#tab6XX
650,4951,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4951#tab6XX
650,4951,16165,CAMBIO TECNOLOGICO,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16165#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4951#tab6XX
700,4951,9216,"Martínez, Eduardo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=9216#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4951#tab7XX
650,4963,17598,ELECTRICIDAD,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17598#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4963#tab6XX
100,4970,4172,"Demidóvich, Boris Pavlovich",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=4172#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4970#tab1XX
650,4970,16102,CALCULO DIFERENCIAL,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16102#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4970#tab6XX
650,4970,18531,FUNCIONES[MATEMATICAS],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18531#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4970#tab6XX
650,4970,19625,MATEMATICAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19625#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4970#tab6XX
110,4972,534,Motorola,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=534#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4972#tab1XX
650,4972,21906,SOFTWARE,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=21906#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4972#tab6XX
110,4973,534,Motorola,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=534#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4973#tab1XX
650,4974,18665,GESTION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18665#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4974#tab6XX
650,4974,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4974#tab6XX
700,4974,9216,"Martínez, Eduardo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=9216#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4974#tab7XX
710,4975,176,Banco Interamericano de Desarrollo,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=176#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4975#tab7XX
110,4979,178,Banco Mundial,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=178#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4979#tab1XX
650,4979,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4979#tab6XX
110,4985,548,Naciones Unidas. Comisión económica para América Latina y el Caribe,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=548#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4985#tab1XX
650,4985,21246,RECURSOS HUMANOS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=21246#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4985#tab6XX
650,4985,18665,GESTION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18665#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4985#tab6XX
110,4991,569,Naciones Unidas. Programa para el medio ambiente,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=569#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4991#tab1XX
650,4991,18991,INDUSTRIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18991#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4991#tab6XX
650,4991,16781,CONTAMINACION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16781#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4991#tab6XX
110,4992,569,Naciones Unidas. Programa para el medio ambiente,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=569#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4992#tab1XX
650,4992,18665,GESTION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18665#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4992#tab6XX
650,4992,19030,INDUSTRIA METALURGICA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19030#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4992#tab6XX
700,4995,5998,"Goldemberg, José",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=5998#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4995#tab7XX
110,5000,569,Naciones Unidas. Programa para el medio ambiente,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=569#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5000#tab1XX
100,5002,6101,"González Arias, Antonio",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=6101#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5002#tab1XX
700,5002,6103,"González Arias, Carlos Eduardo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=6103#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5002#tab7XX
650,5006,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5006#tab6XX
710,5006,548,Naciones Unidas. Comisión Económica para América Latina y el Caribe,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=548#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5006#tab7XX
650,5008,16323,CERAMICA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16323#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5008#tab6XX
650,5008,15443,ALEACIONES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=15443#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5008#tab6XX
650,5008,16360,CIENCIA DE LOS MATERIALES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16360#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5008#tab6XX
700,5008,8230,"Larena Pellejero, Alicia",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=8230#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5008#tab7XX
650,5011,15541,AMERICA LATINA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=15541#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5011#tab6XX
650,5011,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5011#tab6XX
710,5011,548,Naciones Unidas. Comisión Económica para América Latina y el Caribe,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=548#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5011#tab7XX
650,5012,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5012#tab6XX
710,5012,548,Naciones Unidas. Comisión Económica para América Latina y el Caribe,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=548#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5012#tab7XX
650,5013,16165,CAMBIO TECNOLOGICO,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16165#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5013#tab6XX
650,5013,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5013#tab6XX
710,5013,548,Naciones Unidas. Comisión Económica para América Latina y el Caribe,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=548#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5013#tab7XX
110,5014,548,Naciones Unidas. Comisión Económica para América Latina y el Caribe,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=548#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5014#tab1XX
650,5014,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5014#tab6XX
650,5016,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5016#tab6XX
650,5017,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5017#tab6XX
710,5017,548,Naciones Unidas. Comisión Económica para América Latina y el Caribe,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=548#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5017#tab7XX
110,5018,548,Naciones Unidas. Comisión Económica para América Latina y el Caribe,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=548#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5018#tab1XX
650,5018,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5018#tab6XX
650,5020,16781,CONTAMINACION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16781#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5020#tab6XX
710,5020,548,Naciones Unidas. Comisión Económica para América Latina y el Caribe,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=548#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5020#tab7XX
650,5022,18991,INDUSTRIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18991#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5022#tab6XX
700,5024,5905,"Giménez, Jorge E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=5905#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5024#tab7XX
650,5027,17477,ECONOMIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17477#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5027#tab6XX
710,5027,176,Banco Interamericano de Desarrollo,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=176#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5027#tab7XX
110,5028,102,Argentina. Instituto Nacional de Prevención Sísmica,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=102#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5028#tab1XX
110,5029,138,Argentina. Secretaría de Políticas Universitarias,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=138#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5029#tab1XX
650,5030,20605,POLINOMIOS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=20605#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5030#tab6XX
650,5030,20202,NUMEROS COMPLEJOS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=20202#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5030#tab6XX
650,5030,20208,NUMEROS REALES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=20208#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5030#tab6XX
650,5030,22151,TEORIA DE ANILLOS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=22151#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5030#tab6XX
650,5030,18756,GRUPOS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18756#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5030#tab6XX
650,5030,18531,FUNCIONES[MATEMATICAS],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18531#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5030#tab6XX
650,5030,22157,TEORIA DE CONJUNTOS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=22157#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5030#tab6XX
650,5030,15458,ALGEBRA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=15458#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5030#tab6XX
650,5033,17598,ELECTRICIDAD,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17598#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5033#tab6XX
700,5033,4325,"Di Marco, Adolfo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=4325#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5033#tab7XX
650,5036,16500,COJINETES[PIEZAS DE MAQUINAS],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16500#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5036#tab6XX
650,5036,20053,MOTORES DE COMBUSTION INTERNA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=20053#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5036#tab6XX
700,5036,11139,"Pica, E. F.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=11139#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5036#tab7XX
100,5037,14605,"Waganoff, Nicolás P.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=14605#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5037#tab1XX
700,5046,10515,"Ordóñez, Carlos",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=10515#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5046#tab7XX
