Field,BN,$a,SF2,Link
700,2756,"Corona Rodríguez de Contín, Hortensia",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2756#tab7XX
710,2769,Argentina. Consejo Federal de Inversiones,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2769#tab7XX
100,2848,"García, Roberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2848#tab1XX
100,2937,"Hoüel, Jules",1823-1886,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2937#tab1XX
100,3012,"Scheuer, Walter",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3012#tab1XX
700,3030,"Cansado, Enrique",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3030#tab7XX
110,3067,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3067#tab1XX
110,3118,Van Valkenburgh Nooger & Neville,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3118#tab1XX
100,3182,"Butty, Enrique",1887-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3182#tab1XX
100,3206,"Schleisinger, Georg",1874-1949,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3206#tab1XX
100,3268,"Stephenson, Richard",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3268#tab1XX
700,3294,"Coro Pando, Julio",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3294#tab7XX
700,3387,"Robledo Moncada, Emilio",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3387#tab7XX
650,3490,TRANSFERENCIA DE CALOR?,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3490#tab6XX
700,3607,"T. de Goldschvartz, Raquel",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3607#tab7XX
110,3618,L & C. Steinmuller,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3618#tab1XX
110,3649,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3649#tab1XX
700,3650,"T. de Goldschvartz, Raquel",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3650#tab7XX
100,3711,"Fliess, Enrique Dittmar Angel",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3711#tab1XX
100,3762,"Oberg, Erick Valdemar",1881-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3762#tab1XX
700,3762,"Jones, Franklin D.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3762#tab7XX
700,3777,"Lloret Sabastián, José L.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3777#tab7XX
