Field,Link,BN,$a,SF2
110,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3118#tab6XX,3118,Van Valkenburgh Nooger & Neville,
110,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5067#tab6XX,5067,Siemens Aktiengesellschaft,
110,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7362#tab6XX,7362,Van Valkenburgh Nooger & Neville,
110,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8944#tab6XX,8944,Texas Instruments,
110,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9272#tab6XX,9272,"American Association of State Highway and Transportation Officials. Washington, D. C.",
110,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11503#tab6XX,11503,Stone & Webster Engineering Corporation,
110,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14472#tab6XX,14472,España.,Ministerio de Ciencia y Tecnología.
