Field,Link,BN,$a,SF2
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7401#tab6XX,7401,"Maluquer Wahl, Juan J.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7428#tab6XX,7428,"Corona Rodríguez de Contín, Hortensia",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7451#tab6XX,7451,"Corral, Francisco Muñoz del",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7474#tab6XX,7474,"Gere, James Monroe",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7596#tab6XX,7596,"Corona Rodríguez de Contín, Hortensia",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7613#tab6XX,7613,"Velázquez, Manuel",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7682#tab6XX,7682,"Calderón Gomez, Eduado",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7731#tab6XX,7731,"Keyser, Carl Anton",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7762#tab6XX,7762,"Karassik, Igor J.",1911
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7766#tab6XX,7766,"Ross, J.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7796#tab6XX,7796,"García, Roberto M.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7958#tab6XX,7958,"Buck, John A.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7962#tab6XX,7962,"Fadeeva Sknarina, Sofía",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8018#tab6XX,8018,"Acosta C., Fernando",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8196#tab6XX,8196,"Flores Rojas, Misael",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8214#tab6XX,8214,"Reza, José Clemente",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8423#tab6XX,8423,"Maluquer Wahl, Juan J.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8472#tab6XX,8472,"Hernández Rramírez, Roberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8472#tab6XX,8472,"Montúfar Benítez, Marco Antonio",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8512#tab6XX,8512,"Pimentel Rogerio, Rubén",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8606#tab6XX,8606,"Tiscornia, Alejandro",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8828#tab6XX,8828,"González Lonzieme, Enrique",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9031#tab6XX,9031,"De Olano, Douglas",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9103#tab6XX,9103,"Dublanc, D. H.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9141#tab6XX,9141,"Muro Ortega González, Luis",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9287#tab6XX,9287,"Verbeeck, Dirk Valckx",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9306#tab6XX,9306,"Sabato, Jorge A.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9355#tab6XX,9355,Coopesing,
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9386#tab6XX,9386,"García, Roberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9560#tab6XX,9560,"Hawley, Gessner Goodrich",1905-
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11340#tab6XX,11340,"Teitel, Simon, ",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11340#tab6XX,11340,"Westphal, Larry E., ",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11539#tab6XX,11539,"Cochran, William G.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11560#tab6XX,11560,"García, Juan Agustín, ",1862-1923
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11568#tab6XX,11568,"Cervantes, J., ",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11577#tab6XX,11577,"Molloy, Edward, ",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11577#tab6XX,11577,"Campbell, F. W., ",
