Field,Link,BN,$a,SF2
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=656#tab6XX,656,"Stevenson, William D.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1304#tab6XX,1304,"Oberg, Erick Valdemar",1881-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1632#tab6XX,1632,"Müller, J.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1798#tab6XX,1798,"Gere, James Monroe",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2331#tab6XX,2331,"Gaylord, Edwin Henry",1903-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2413#tab6XX,2413,"Williams, J.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2415#tab6XX,2415,"Niven, Ivan",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2444#tab6XX,2444,"Gere, James Monroe",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2467#tab6XX,2467,"Toranzos, Fausto A.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2674#tab6XX,2674,"Klein, J.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2848#tab6XX,2848,"García, Roberto",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=2937#tab6XX,2937,"Hoüel, Jules",1823-1886
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3012#tab6XX,3012,"Scheuer, Walter",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3182#tab6XX,3182,"Butty, Enrique",1887-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3206#tab6XX,3206,"Schleisinger, Georg",1874-1949
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3268#tab6XX,3268,"Stephenson, Richard",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3711#tab6XX,3711,"Fliess, Enrique Dittmar Angel",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3762#tab6XX,3762,"Oberg, Erick Valdemar",1881-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4013#tab6XX,4013,"García López, M.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4031#tab6XX,4031,"Butty, Enrique",1887-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4285#tab6XX,4285,"Torrey, M.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4326#tab6XX,4326,"Sykes, G.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4525#tab6XX,4525,"Sabato, Jorge A.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4666#tab6XX,4666,"Gere, James Monroe",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5033#tab6XX,5033,"Kraus, John Daniel",1910-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5106#tab6XX,5106,"Kahn, Peter B.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5319#tab6XX,5319,Chapp,
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5718#tab6XX,5718,"Dunlop, John",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5955#tab6XX,5955,"Gray, W. S.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6255#tab6XX,6255,"Williams, J.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6271#tab6XX,6271,"Kretzmann, R.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6311#tab6XX,6311,"Maron, Isaac Abramovich",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6413#tab6XX,6413,"De Garmo, Ernest Paul",1907-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6455#tab6XX,6455,"Atkinson, Lee",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6459#tab6XX,6459,"Kendall, Maurice george",1907-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6481#tab6XX,6481,"González, Hernán",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6681#tab6XX,6681,"Fontela, Carlos Moisés",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6694#tab6XX,6694,"Fontela, Carlos Moisés",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6819#tab6XX,6819,"Watson, W.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6824#tab6XX,6824,"Chevalier, A.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7028#tab6XX,7028,"Keyser, Carl Anton",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7120#tab6XX,7120,"Kraus, John Daniel",1910-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7139#tab6XX,7139,"Kraus, John Daniel",1910-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7428#tab6XX,7428,"Keyser, Carl Anton",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7784#tab6XX,7784,"Mateo, José",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8422#tab6XX,8422,"Schegliáiev, Andrei Vladimirivich",1902-1970
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8439#tab6XX,8439,"Costes, Jean",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8899#tab6XX,8899,"Paul, Richard P.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9280#tab6XX,9280,"Hoüel, Jules",1823-1886
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9352#tab6XX,9352,"Ferrari, R.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9415#tab6XX,9415,"Kraus, John Daniel",1910-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9416#tab6XX,9416,"Kraus, John Daniel",1910-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9420#tab6XX,9420,"Gennes, Pierre Giles de",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9592#tab6XX,9592,"Fontela, Carlos Moisés",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9625#tab6XX,9625,"Butty, Enrique",1887-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9640#tab6XX,9640,"Fontela, Carlos Moisés",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9687#tab6XX,9687,"González, Hernán",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9751#tab6XX,9751,"Kuffel, E.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10052#tab6XX,10052,"Molloy, E.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10133#tab6XX,10133,"Ferrari Bono, Bruno V.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10216#tab6XX,10216,"Butty, Enrique",1887-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10282#tab6XX,10282,"Krenkel, T.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10283#tab6XX,10283,"Krenkel, T.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11512#tab6XX,11512,"Beer, Ferdinand B.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11552#tab6XX,11552,"Bunge, Alejandro E.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11557#tab6XX,11557,"Rey Pastor, Julio, ",1888-1962
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11588#tab6XX,11588,"Boyce, William E.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11638#tab6XX,11638,"Gandolfo, José S.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11647#tab6XX,11647,"Butty, Enrique",1887-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11861#tab6XX,11861,"Rubio, Sanjuán",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12206#tab6XX,12206,"López, Fernando",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12310#tab6XX,12310,"Samitier, Jorge",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12546#tab6XX,12546,"Lew, Sergio E.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12799#tab6XX,12799,"Faure, Robert",1918-1962
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12815#tab6XX,12815,"Schleifer, Arthur, Jr.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13033#tab6XX,13033,"Gayakwad, Ramakant A.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13035#tab6XX,13035,"Chen, Wai-Kai",1936-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13038#tab6XX,13038,"Pagel, Sigfredo F.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13048#tab6XX,13048,"Hoüel, Jules",1823-1886
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13049#tab6XX,13049,"Hoüel, Jules",1823-1886
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13053#tab6XX,13053,"Wylie, Clarence Raymond",1911-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13056#tab6XX,13056,"Blatt, Frank J.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13059#tab6XX,13059,"Pérez Carmona, Rafael",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13066#tab6XX,13066,"Hartree, Douglas R.",1897-1958
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13068#tab6XX,13068,"Jaime, Valentín",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13204#tab6XX,13204,"Sears, Francis Weston,",1898-1975.
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13469#tab6XX,13469,"Carisimo, Esteban",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13471#tab6XX,13471,"Levi Hadid, Lucas",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab6XX,13472,"Cuomo, Joaquin M.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14398#tab6XX,14398,"Vian Ortuño, Angel",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14459#tab6XX,14459,"Howell, John R.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14489#tab6XX,14489,"Deutsch, Irving",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14582#tab6XX,14582,"Kyle, B. G.",1927-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14587#tab6XX,14587,"Huber, Walter,",1928-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14663#tab6XX,14663,"García Merayo, Félix.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14665#tab6XX,14665,"Sierra Bravo, Restituto.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14676#tab6XX,14676,"Majaro, Simón.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14722#tab6XX,14722,"Cantarow, Abraham,",1901-
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=15397#tab6XX,15397,"Schechter, Robert Samuel.",
100,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=15402#tab6XX,15402,"Russell, T. W. F.,",1934-
